0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
95,1,14,15,24,94,58,40,13,56,73,59,39,37,88,32,0,54,65,97,5,51,83,54,99,19,11,68,12,1,33,72,0,83,47,59,71,1,29,10,66,61,42,0,10,48,35,18,94,8,28,19,71,99,35,50,73,80,99,71,87,43,45,33,19,59,28,4,34,37,61,57,81,11,99,88,73,33,37,52,33,25,20,32,1,56,33,33,17,1,88,57,64,62,39,87,1,96,61,27
37,36,25,41,79,25,11,67,53,94,86,96,75,33,42,35,42,46,37,8,75,34,73,41,12,15,47,10,46,93,90,35,31,43,0,36,69,31,70,64,71,9,84,64,4,93,97,73,33,31,85,18,22,36,52,30,84,76,93,0,48,76,59,73,21,85,39,34,71,53,98,27,6,52,30,83,97,18,55,8,7,91,44,96,82,56,54,32,50,27,2,6,38,79,94,67,42,21,8,35
58,58,63,44,22,3,94,86,64,89,36,76,79,72,31,88,13,88,14,7,66,66,14,68,35,94,0,8,59,80,87,80,48,84,5,24,47,7,3,59,74,49,93,43,85,4,66,48,3,94,20,61,17,68,46,38,46,51,56,48,40,31,34,88,22,11,87,37,58,64,7,91,77,1,34,2,24,72,48,18,28,95,82,54,67,22,22,90,94,84,0,15,67,31,66,3,7,9,81,62
55,35,94,71,76,87,92,3,33,81,90,43,47,97,90,97,54,45,42,22,2,30,79,32,33,76,16,82,40,85,83,48,37,89,32,33,27,54,11,73,80,89,22,97,40,33,20,38,77,86,38,54,41,72,13,14,69,19,71,45,33,50,67,71,94,23,25,56,67,34,91,20,95,29,72,9,0,22,36,45,80,47,40,76,0,33,63,68,42,20,60,81,45,93,56,81,8,49,19,25
34,45,99,15,8,84,94,27,6,45,48,61,54,61,3,60,18,35,46,99,91,58,32,82,11,2,84,23,51,27,87,23,91,89,25,92,78,69,67,69,16,22,76,72,50,5,95,33,18,69,56,18,98,60,32,39,96,90,84,23,1,59,65,58,18,39,51,66,26,99,61,65,92,47,43,26,93,17,20,67,72,25,65,39,11,11,87,90,82,28,9,71,12,70,9,52,84,21,88,10
81,50,58,14,93,91,25,27,15,48,82,87,10,42,84,77,84,35,61,23,45,30,48,54,95,58,17,45,6,93,70,38,91,12,81,1,62,10,54,58,40,76,30,22,70,83,48,45,98,97,18,95,10,32,44,90,4,31,38,78,17,11,0,12,42,89,28,52,28,58,33,95,27,71,96,83,83,11,25,86,67,61,54,2,45,16,86,44,36,25,78,22,91,76,63,32,99,3,51,26
40,64,2,22,78,24,43,25,17,28,43,83,46,26,81,46,19,65,49,85,54,58,88,39,95,54,39,74,65,45,15,15,18,42,60,23,2,71,78,22,16,78,9,65,53,41,99,12,19,46,89,69,17,29,94,64,62,91,75,72,11,69,73,39,79,73,52,20,80,83,70,96,47,28,64,7,13,17,2,7,67,51,68,72,42,88,76,48,68,36,98,37,53,63,51,24,5,91,54,89
3,96,99,15,44,85,41,95,85,84,78,90,24,74,23,97,27,45,32,44,8,12,68,98,10,30,17,20,87,39,53,69,30,8,72,1,40,78,67,75,26,25,67,26,3,0,78,54,14,4,57,1,50,58,91,72,29,53,41,24,82,49,98,8,58,20,45,63,39,5,61,12,36,82,31,9,15,56,54,7,25,57,47,25,82,58,94,38,31,88,40,92,83,50,20,24,36,42,57,57
31,17,58,69,9,57,72,14,56,57,97,45,31,29,57,35,54,40,80,46,49,52,48,63,64,31,66,97,38,74,64,80,78,23,60,90,77,64,75,61,74,13,38,69,0,27,83,89,19,3,13,2,91,98,28,56,66,77,26,19,11,99,41,82,63,42,36,3,8,58,73,82,6,96,79,42,89,42,21,70,15,38,18,37,49,48,14,83,89,86,20,83,31,0,67,82,96,22,78,72
74,42,35,87,70,31,57,13,25,44,76,34,66,31,19,5,24,86,11,31,78,4,14,87,48,3,8,71,86,27,32,37,46,90,31,46,85,2,71,37,58,3,16,26,9,60,28,21,32,83,94,41,40,60,44,15,23,68,13,45,14,92,31,48,88,55,4,11,74,19,22,57,80,0,34,81,54,28,17,91,96,59,79,80,98,93,7,89,34,40,49,12,49,42,49,71,41,50,60,15
